ANO;GEO_COD;GEO_COD_DSG;NIVEL;NIVEL_DSG;N_ALOJAMENTOS;N_ALOJAMENTOS_FAMILIARES;N_ALOJAMENTOS_FAM_CLASSICOS;N_ALOJAMENTOS_FAM_N_CLASSICOS;N_ALOJAMENTOS_COLECTIVOS;N_CLASSICOS_RES_HABITUAL;N_ALOJAMENTOS_RES_HABITUAL;N_ALOJAMENTOS_VAGOS
2011;'110608057; ;7;Secção;258;256;256;0;2;216;216;29
2011;'110608058; ;7;Secção;195;195;195;0;0;153;153;16
2011;'110608059; ;7;Secção;301;300;300;0;1;193;193;92
2011;'110608060; ;7;Secção;343;341;340;1;2;215;216;98
2011;'110608061; ;7;Secção;114;113;113;0;1;110;110;2
2011;'110608062; ;7;Secção;472;472;471;1;0;420;421;49
2011;'110608063; ;7;Secção;178;177;177;0;1;162;162;12
2011;'110608064; ;7;Secção;290;290;290;0;0;269;269;9
2011;'110608065; ;7;Secção;250;250;250;0;0;243;243;7
2011;'110608066; ;7;Secção;264;263;263;0;1;230;230;21
2011;'110609001; ;7;Secção;272;266;266;0;6;164;164;47
2011;'110609002; ;7;Secção;711;711;711;0;0;475;475;106
2011;'110609003; ;7;Secção;266;266;266;0;0;212;212;34
2011;'110609004; ;7;Secção;294;293;293;0;1;258;258;17
2011;'110609005; ;7;Secção;353;353;353;0;0;256;256;54
2011;'110609006; ;7;Secção;410;410;410;0;0;345;345;27
2011;'110609007; ;7;Secção;479;477;477;0;2;350;350;6
2011;'110609008; ;7;Secção;328;326;326;0;2;252;252;48
2011;'110609009; ;7;Secção;445;445;445;0;0;331;331;53
2011;'110609010; ;7;Secção;200;200;200;0;0;149;149;18
2011;'110609011; ;7;Secção;268;268;268;0;0;196;196;45
2011;'110609012; ;7;Secção;168;166;166;0;2;126;126;16
2011;'110609013; ;7;Secção;282;282;282;0;0;196;196;38
2011;'110609014; ;7;Secção;430;429;429;0;1;313;313;68
2011;'110609015; ;7;Secção;260;260;260;0;0;197;197;13
2011;'110609016; ;7;Secção;271;271;271;0;0;221;221;26
2011;'110609017; ;7;Secção;229;224;224;0;5;139;139;51
2011;'110609018; ;7;Secção;273;273;273;0;0;171;171;52
2011;'110609019; ;7;Secção;281;279;279;0;2;219;219;25
2011;'110610001; ;7;Secção;351;351;351;0;0;226;226;53
2011;'110610002; ;7;Secção;318;316;316;0;2;184;184;81
2011;'110610003; ;7;Secção;252;252;252;0;0;213;213;18
2011;'110610004; ;7;Secção;195;189;189;0;6;123;123;52
2011;'110610005; ;7;Secção;294;294;294;0;0;174;174;38
2011;'110610006; ;7;Secção;228;228;227;1;0;149;150;51
2011;'110610007; ;7;Secção;253;251;250;1;2;162;163;75
2011;'110610008; ;7;Secção;224;224;224;0;0;178;178;34
2011;'110610009; ;7;Secção;254;254;250;4;0;201;205;31
2011;'110610010; ;7;Secção;85;84;84;0;1;67;67;12
2011;'110610011; ;7;Secção;29;29;29;0;0;25;25;4
2011;'110610012; ;7;Secção;471;471;471;0;0;360;360;64
2011;'110610013; ;7;Secção;360;360;359;1;0;266;267;87
2011;'110610014; ;7;Secção;446;445;444;1;1;289;290;147
2011;'110610015; ;7;Secção;261;260;260;0;1;249;249;2
2011;'110610016; ;7;Secção;260;259;259;0;1;225;225;20
2011;'110610017; ;7;Secção;311;311;311;0;0;214;214;52
2011;'110610018; ;7;Secção;324;324;322;2;0;190;192;85
2011;'110610019; ;7;Secção;374;374;374;0;0;266;266;73
2011;'110610020; ;7;Secção;209;209;209;0;0;159;159;13
2011;'110610021; ;7;Secção;325;325;325;0;0;211;211;65
2011;'110610022; ;7;Secção;359;359;359;0;0;258;258;54
2011;'110610023; ;7;Secção;297;296;296;0;1;220;220;28
2011;'110610024; ;7;Secção;331;328;328;0;3;187;187;66
2011;'110610025; ;7;Secção;267;266;266;0;1;193;193;39
2011;'110610026; ;7;Secção;323;322;322;0;1;214;214;79
2011;'110610027; ;7;Secção;288;288;288;0;0;220;220;38
2011;'110610028; ;7;Secção;320;320;320;0;0;243;243;44
2011;'110610029; ;7;Secção;330;330;330;0;0;263;263;49
2011;'110610030; ;7;Secção;330;330;330;0;0;221;221;79
2011;'110610031; ;7;Secção;330;330;330;0;0;207;207;79
2011;'110610032; ;7;Secção;256;256;255;1;0;224;225;24
2011;'110611001; ;7;Secção;300;300;300;0;0;213;213;78
2011;'110611002; ;7;Secção;342;342;341;1;0;271;272;53
2011;'110611003; ;7;Secção;469;469;469;0;0;385;385;43
2011;'110611004; ;7;Secção;283;283;283;0;0;201;201;71
2011;'110611005; ;7;Secção;334;334;334;0;0;268;268;62
2011;'110611006; ;7;Secção;308;308;308;0;0;287;287;11
2011;'110611007; ;7;Secção;277;277;276;1;0;247;248;23
2011;'110611008; ;7;Secção;14;13;13;0;1;12;12;0
2011;'110611009; ;7;Secção;297;297;297;0;0;277;277;12
2011;'110611010; ;7;Secção;304;304;304;0;0;256;256;27
2011;'110611011; ;7;Secção;280;279;279;0;1;256;256;16
2011;'110611012; ;7;Secção;257;256;256;0;1;222;222;4
2011;'110611013; ;7;Secção;266;266;266;0;0;243;243;19
2011;'110611014; ;7;Secção;374;374;374;0;0;290;290;35
2011;'110611015; ;7;Secção;215;214;213;1;1;159;160;22
2011;'110611016; ;7;Secção;360;356;356;0;4;286;286;15
2011;'110611017; ;7;Secção;418;417;417;0;1;253;253;83
2011;'110611018; ;7;Secção;221;221;221;0;0;188;188;10
2011;'110611019; ;7;Secção;402;402;402;0;0;329;329;33
2011;'110611020; ;7;Secção;357;357;357;0;0;302;302;24
2011;'110611021; ;7;Secção;314;314;314;0;0;273;273;14
2011;'110611022; ;7;Secção;322;321;321;0;1;247;247;31
2011;'110611023; ;7;Secção;389;389;389;0;0;321;321;48
2011;'110611024; ;7;Secção;223;222;222;0;1;191;191;16
2011;'110611025; ;7;Secção;436;436;436;0;0;289;289;75
2011;'110611026; ;7;Secção;304;304;304;0;0;257;257;8
2011;'110611027; ;7;Secção;446;446;446;0;0;356;356;35
2011;'110611028; ;7;Secção;210;210;210;0;0;151;151;42
2011;'110611029; ;7;Secção;413;411;411;0;2;345;345;16
2011;'110611030; ;7;Secção;339;339;339;0;0;280;280;21
